,parameter,significant_percent
0,mu_sigma_a,48.97959183673469
1,mu_sigma_n,10.204081632653061
2,mu_eta,40.816326530612244
3,mu_kappa,44.89795918367347
4,mu_beta,42.857142857142854
5,mu_bias,32.6530612244898
