param,param_mean,group,hdi_low,hdi_high,param_std
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.6315733815617006,-0.15803782947732525,0.10544494120180121
mu_sigma_a,0.8655018485287211,patient,-0.6315733815617006,-0.15803782947732525,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.6315733815617006,-0.15803782947732525,0.10544494120180121
mu_sigma_a,0.8655018485287211,patient,-0.6315733815617006,-0.15803782947732525,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.6315733815617006,-0.15803782947732525,0.10544494120180121
mu_sigma_a,0.8655018485287211,patient,-0.6315733815617006,-0.15803782947732525,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.6315733815617006,-0.15803782947732525,0.10544494120180121
mu_sigma_a,0.8655018485287211,patient,-0.6315733815617006,-0.15803782947732525,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.6315733815617006,-0.15803782947732525,0.10544494120180121
mu_sigma_a,0.8655018485287211,patient,-0.6315733815617006,-0.15803782947732525,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.47191245671168314,control,-0.6239552681878301,-0.15835262295594243,0.11450563702276703
mu_sigma_a,0.8655018485287211,patient,-0.6239552681878301,-0.15835262295594243,0.0880432726820679
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.5059558466688634,control,-0.515324227853172,-0.11289902003748398,0.10544494120180121
mu_sigma_a,0.8496672912822053,patient,-0.515324227853172,-0.11289902003748398,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
mu_sigma_a,0.8496672912822053,patient,-0.6437118219860937,-0.15420397248241835,0.07552589596050578
mu_sigma_a,0.47191245671168314,control,-0.6437118219860937,-0.15420397248241835,0.11450563702276703
