,parameter,significant_percent
0,mu_sigma_a,100.0
1,mu_sigma_n,0.0
2,mu_eta,25.53191489361702
3,mu_kappa,25.53191489361702
4,mu_beta,22.340425531914892
5,mu_bias,0.0
