,parameter,significant_percent
0,mu_sigma_a,100.0
1,mu_sigma_n,48.97959183673469
2,mu_eta,26.53061224489796
3,mu_kappa,44.89795918367347
4,mu_beta,24.489795918367346
5,mu_bias,0.0
