param,param_mean,group,hdi_low,hdi_high,param_std
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.5467912418990535,-0.18980659255483645,0.09733355648214241
mu_sigma_a,0.9321459671034326,patient,-0.5467912418990535,-0.18980659255483645,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
mu_sigma_a,0.9321459671034326,patient,-0.6405469942489964,-0.3392877295328165,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.6397049408316928,-0.283638247333316,0.09286757025622701
mu_sigma_a,0.9051058206597924,patient,-0.6397049408316928,-0.283638247333316,0.06901615490603134
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
mu_sigma_a,0.9321459671034326,patient,-0.6405469942489964,-0.3392877295328165,0.062329692323698414
mu_sigma_a,0.540374383779384,control,-0.5467912418990535,-0.18980659255483645,0.09733355648214241
mu_sigma_a,0.9321459671034326,patient,-0.5467912418990535,-0.18980659255483645,0.062329692323698414
mu_sigma_a,0.8404989936852953,control,-0.3212885257711653,0.13515264179614928,0.09900605416387376
mu_sigma_a,0.9051058206597924,patient,-0.3212885257711653,0.13515264179614928,0.06901615490603134
mu_sigma_a,0.540374383779384,control,-0.33281951394744236,0.18940224042618686,0.09733355648214241
mu_sigma_a,0.604946755585859,patient,-0.33281951394744236,0.18940224042618686,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.33281951394744236,0.18940224042618686,0.09733355648214241
mu_sigma_a,0.604946755585859,patient,-0.33281951394744236,0.18940224042618686,0.14001072291916308
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.4633671652737644,control,-0.6397049408316928,-0.283638247333316,0.09286757025622701
mu_sigma_a,0.9051058206597924,patient,-0.6397049408316928,-0.283638247333316,0.06901615490603134
mu_sigma_a,0.540374383779384,control,-0.5467912418990535,-0.18980659255483645,0.09733355648214241
mu_sigma_a,0.9321459671034326,patient,-0.5467912418990535,-0.18980659255483645,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
mu_sigma_a,0.9321459671034326,patient,-0.6405469942489964,-0.3392877295328165,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.5467912418990535,-0.18980659255483645,0.09733355648214241
mu_sigma_a,0.9321459671034326,patient,-0.5467912418990535,-0.18980659255483645,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.33281951394744236,0.18940224042618686,0.09733355648214241
mu_sigma_a,0.604946755585859,patient,-0.33281951394744236,0.18940224042618686,0.14001072291916308
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
mu_sigma_a,0.9321459671034326,patient,-0.6405469942489964,-0.3392877295328165,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
mu_sigma_a,0.9321459671034326,patient,-0.6405469942489964,-0.3392877295328165,0.062329692323698414
mu_sigma_a,0.8404989936852953,control,-0.3212885257711653,0.13515264179614928,0.09900605416387376
mu_sigma_a,0.9051058206597924,patient,-0.3212885257711653,0.13515264179614928,0.06901615490603134
mu_sigma_a,0.8404989936852953,control,-0.3212885257711653,0.13515264179614928,0.09900605416387376
mu_sigma_a,0.9051058206597924,patient,-0.3212885257711653,0.13515264179614928,0.06901615490603134
mu_sigma_a,0.4633671652737644,control,-0.6397049408316928,-0.283638247333316,0.09286757025622701
mu_sigma_a,0.9051058206597924,patient,-0.6397049408316928,-0.283638247333316,0.06901615490603134
mu_sigma_a,0.540374383779384,control,-0.33281951394744236,0.18940224042618686,0.09733355648214241
mu_sigma_a,0.604946755585859,patient,-0.33281951394744236,0.18940224042618686,0.14001072291916308
mu_sigma_a,0.8404989936852953,control,-0.3212885257711653,0.13515264179614928,0.09900605416387376
mu_sigma_a,0.9051058206597924,patient,-0.3212885257711653,0.13515264179614928,0.06901615490603134
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.8404989936852953,control,-0.3334672430357297,0.16907437640176515,0.09900605416387376
mu_sigma_a,0.9321459671034326,patient,-0.3334672430357297,0.16907437640176515,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.370333521435622,0.11477531898663607,0.09286757025622701
mu_sigma_a,0.604946755585859,patient,-0.370333521435622,0.11477531898663607,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.33281951394744236,0.18940224042618686,0.09733355648214241
mu_sigma_a,0.604946755585859,patient,-0.33281951394744236,0.18940224042618686,0.14001072291916308
mu_sigma_a,0.540374383779384,control,-0.5467912418990535,-0.18980659255483645,0.09733355648214241
mu_sigma_a,0.9321459671034326,patient,-0.5467912418990535,-0.18980659255483645,0.062329692323698414
mu_sigma_a,0.8404989936852953,control,-0.3334672430357297,0.16907437640176515,0.09900605416387376
mu_sigma_a,0.9321459671034326,patient,-0.3334672430357297,0.16907437640176515,0.062329692323698414
mu_sigma_a,0.4633671652737644,control,-0.6405469942489964,-0.3392877295328165,0.09286757025622701
