subjID	group	trial	cue	choice	rt	outcome
0	pt	0	4	0	0	-1
0	pt	1	6	1	0	0
0	pt	2	2	0	0	-1
0	pt	3	6	1	0	0
0	pt	4	1	0	0	0
0	pt	5	5	1	0	0
0	pt	6	4	1	0	0
0	pt	7	4	0	0	-1
0	pt	8	2	1	0	0
0	pt	9	2	1	0	0
0	pt	10	6	1	0	0
0	pt	11	7	1	0	0
0	pt	12	2	1	0	0
0	pt	13	6	1	0	0
0	pt	14	6	1	0	0
0	pt	15	6	1	0	0
0	pt	16	2	1	0	0
0	pt	17	1	1	0	0
0	pt	18	2	1	0	0
0	pt	19	6	1	0	0
0	pt	20	2	1	0	0
0	pt	21	4	1	0	0
0	pt	22	7	0	0	0
0	pt	23	4	1	0	0
0	pt	24	6	1	0	0
0	pt	25	2	1	0	0
0	pt	26	6	0	0	0
0	pt	27	6	1	0	0
0	pt	28	1	1	0	0
0	pt	29	6	1	0	0
0	pt	30	7	1	0	0
0	pt	31	6	1	0	0
0	pt	32	2	1	0	0
0	pt	33	6	1	0	0
0	pt	34	2	1	0	0
0	pt	35	4	1	0	0
0	pt	36	6	1	0	0
0	pt	37	2	1	0	0
0	pt	38	2	1	0	0
0	pt	39	2	1	0	0
0	pt	40	1	1	0	0
0	pt	41	5	1	0	0
0	pt	42	2	1	0	0
0	pt	43	2	1	0	0
0	pt	44	4	1	0	0
0	pt	45	2	1	0	0
0	pt	46	4	0	0	-1
0	pt	47	2	1	0	0
0	pt	48	4	1	0	0
0	pt	49	6	1	0	0
0	pt	50	2	1	0	0
0	pt	51	4	1	0	0
0	pt	52	6	1	0	0
0	pt	53	4	0	0	-1
0	pt	54	1	0	0	0
0	pt	55	4	1	0	0
0	pt	56	5	1	0	0
0	pt	57	4	1	0	0
0	pt	58	6	1	0	0
0	pt	59	4	1	0	0
0	pt	60	6	1	0	0
0	pt	61	2	1	0	0
0	pt	62	2	1	0	0
0	pt	63	6	1	0	0
0	pt	64	4	1	0	0
0	pt	65	2	1	0	0
0	pt	66	6	0	0	0
0	pt	67	3	1	0	0
0	pt	68	6	1	0	0
0	pt	69	6	1	0	0
0	pt	70	6	1	0	0
0	pt	71	4	1	0	0
0	pt	72	6	1	0	0
0	pt	73	3	1	0	0
0	pt	74	2	1	0	0
0	pt	75	6	1	0	0
0	pt	76	4	1	0	0
0	pt	77	7	1	0	0
0	pt	78	5	1	0	0
0	pt	79	4	1	0	0
0	pt	80	2	1	0	0
0	pt	81	7	1	0	0
0	pt	82	4	1	0	0
0	pt	83	4	1	0	0
0	pt	84	4	1	0	0
0	pt	85	2	1	0	0
0	pt	86	6	1	0	0
0	pt	87	4	1	0	0
0	pt	88	1	1	0	0
0	pt	89	4	1	0	0
0	pt	90	3	0	0	0
0	pt	91	4	1	0	0
0	pt	92	6	1	0	0
0	pt	93	3	1	0	0
0	pt	94	6	0	0	0
1	pt	0	7	0	0	0
1	pt	1	4	0	0	-1
1	pt	2	6	1	0	0
1	pt	3	5	0	0	0
1	pt	4	4	1	0	0
1	pt	5	4	0	0	-1
1	pt	6	4	0	0	-1
1	pt	7	4	1	0	0
1	pt	8	6	1	0	0
1	pt	9	6	1	0	0
1	pt	10	4	1	0	0
1	pt	11	7	1	0	0
1	pt	12	2	1	0	0
1	pt	13	2	1	0	0
1	pt	14	2	1	0	0
1	pt	15	4	0	0	-1
1	pt	16	1	1	0	0
1	pt	17	6	1	0	0
1	pt	18	6	1	0	0
1	pt	19	1	1	0	0
1	pt	20	2	1	0	0
1	pt	21	3	1	0	0
1	pt	22	2	1	0	0
1	pt	23	6	1	0	0
1	pt	24	3	1	0	0
1	pt	25	6	1	0	0
1	pt	26	4	1	0	0
1	pt	27	6	1	0	0
1	pt	28	6	1	0	0
1	pt	29	6	1	0	0
1	pt	30	4	1	0	0
1	pt	31	4	1	0	0
1	pt	32	6	1	0	0
1	pt	33	2	1	0	0
1	pt	34	4	1	0	0
1	pt	35	4	1	0	0
1	pt	36	1	1	0	0
1	pt	37	4	1	0	0
1	pt	38	4	1	0	0
1	pt	39	6	1	0	0
1	pt	40	2	1	0	0
1	pt	41	6	1	0	0
1	pt	42	4	1	0	0
1	pt	43	2	1	0	0
1	pt	44	6	1	0	0
1	pt	45	4	1	0	0
1	pt	46	2	0	0	-1
1	pt	47	4	1	0	0
1	pt	48	5	1	0	0
1	pt	49	6	1	0	0
1	pt	50	1	1	0	0
1	pt	51	7	1	0	0
1	pt	52	4	1	0	0
1	pt	53	7	1	0	0
1	pt	54	4	1	0	0
1	pt	55	6	1	0	0
1	pt	56	4	1	0	0
1	pt	57	4	1	0	0
1	pt	58	2	1	0	0
1	pt	59	4	1	0	0
1	pt	60	6	1	0	0
1	pt	61	6	1	0	0
1	pt	62	6	1	0	0
1	pt	63	6	1	0	0
1	pt	64	6	0	0	0
1	pt	65	3	1	0	0
1	pt	66	5	1	0	0
1	pt	67	4	1	0	0
1	pt	68	4	1	0	0
1	pt	69	4	0	0	-1
1	pt	70	4	1	0	0
1	pt	71	3	0	0	0
1	pt	72	4	1	0	0
1	pt	73	4	1	0	0
1	pt	74	7	1	0	0
1	pt	75	5	1	0	0
1	pt	76	2	1	0	0
1	pt	77	4	1	0	0
1	pt	78	3	1	0	0
1	pt	79	6	1	0	0
1	pt	80	6	1	0	0
1	pt	81	6	1	0	0
1	pt	82	5	1	0	0
