subjID	group	trial	cue	choice	rt	outcome
0	pt	0	4	0	0	-1
0	pt	1	6	1	0	0
0	pt	2	7	0	0	0
0	pt	3	4	1	0	0
0	pt	4	6	1	0	0
0	pt	5	4	1	0	0
0	pt	6	4	1	0	0
0	pt	7	6	1	0	0
0	pt	8	2	1	0	0
0	pt	9	2	1	0	0
0	pt	10	1	1	0	0
0	pt	11	6	1	0	0
0	pt	12	6	1	0	0
0	pt	13	6	1	0	0
0	pt	14	7	0	0	0
0	pt	15	6	1	0	0
0	pt	16	4	1	0	0
0	pt	17	6	1	0	0
0	pt	18	2	1	0	0
0	pt	19	5	1	0	0
0	pt	20	2	1	0	0
0	pt	21	6	0	0	0
0	pt	22	4	1	0	0
0	pt	23	4	1	0	0
0	pt	24	2	1	0	0
0	pt	25	6	1	0	0
0	pt	26	4	1	0	0
0	pt	27	4	1	0	0
0	pt	28	1	1	0	0
0	pt	29	4	1	0	0
0	pt	30	4	1	0	0
0	pt	31	4	1	0	0
0	pt	32	6	1	0	0
0	pt	33	5	1	0	0
0	pt	34	3	1	0	0
0	pt	35	4	1	0	0
0	pt	36	6	1	0	0
0	pt	37	2	1	0	0
0	pt	38	5	1	0	0
0	pt	39	5	1	0	0
0	pt	40	2	1	0	0
0	pt	41	2	1	0	0
0	pt	42	2	1	0	0
0	pt	43	3	1	0	0
0	pt	44	4	1	0	0
0	pt	45	4	1	0	0
0	pt	46	7	1	0	0
0	pt	47	2	1	0	0
0	pt	48	2	0	0	-1
0	pt	49	2	1	0	0
0	pt	50	5	1	0	0
0	pt	51	2	1	0	0
0	pt	52	4	1	0	0
0	pt	53	2	1	0	0
0	pt	54	2	1	0	0
0	pt	55	2	1	0	0
0	pt	56	5	1	0	0
0	pt	57	2	1	0	0
0	pt	58	2	1	0	0
0	pt	59	4	1	0	0
0	pt	60	6	1	0	0
0	pt	61	2	1	0	0
0	pt	62	6	1	0	0
0	pt	63	2	1	0	0
0	pt	64	7	1	0	0
0	pt	65	4	1	0	0
0	pt	66	7	0	0	0
0	pt	67	4	1	0	0
0	pt	68	6	1	0	0
0	pt	69	1	1	0	0
0	pt	70	2	1	0	0
0	pt	71	2	1	0	0
0	pt	72	2	1	0	0
0	pt	73	2	1	0	0
0	pt	74	3	1	0	0
0	pt	75	4	1	0	0
0	pt	76	2	1	0	0
0	pt	77	6	1	0	0
0	pt	78	4	1	0	0
0	pt	79	2	1	0	0
0	pt	80	4	1	0	0
0	pt	81	2	1	0	0
0	pt	82	4	1	0	0
0	pt	83	6	1	0	0
0	pt	84	3	1	0	0
0	pt	85	5	1	0	0
0	pt	86	2	1	0	0
0	pt	87	6	1	0	0
0	pt	88	2	1	0	0
0	pt	89	2	1	0	0
0	pt	90	4	1	0	0
0	pt	91	1	1	0	0
0	pt	92	6	0	0	0
0	pt	93	1	1	0	0
0	pt	94	5	1	0	0
1	pt	0	2	0	0	-1
1	pt	1	2	1	0	0
1	pt	2	2	1	0	0
1	pt	3	4	1	0	0
1	pt	4	2	1	0	0
1	pt	5	6	1	0	0
1	pt	6	4	1	0	0
1	pt	7	2	1	0	0
1	pt	8	1	1	0	0
1	pt	9	2	1	0	0
1	pt	10	5	1	0	0
1	pt	11	4	1	0	0
1	pt	12	4	1	0	0
1	pt	13	6	1	0	0
1	pt	14	7	1	0	0
1	pt	15	2	1	0	0
1	pt	16	5	1	0	0
1	pt	17	2	1	0	0
1	pt	18	1	1	0	0
1	pt	19	6	1	0	0
1	pt	20	3	1	0	0
1	pt	21	4	1	0	0
1	pt	22	4	1	0	0
1	pt	23	6	1	0	0
1	pt	24	4	1	0	0
1	pt	25	6	1	0	0
1	pt	26	2	1	0	0
1	pt	27	6	1	0	0
1	pt	28	2	1	0	0
1	pt	29	7	1	0	0
1	pt	30	6	1	0	0
1	pt	31	2	1	0	0
1	pt	32	6	1	0	0
1	pt	33	6	1	0	0
1	pt	34	2	1	0	0
1	pt	35	2	1	0	0
1	pt	36	4	1	0	0
1	pt	37	1	1	0	0
1	pt	38	2	1	0	0
1	pt	39	4	1	0	0
1	pt	40	4	1	0	0
1	pt	41	4	1	0	0
1	pt	42	2	1	0	0
1	pt	43	4	1	0	0
1	pt	44	6	1	0	0
1	pt	45	2	1	0	0
1	pt	46	4	1	0	0
1	pt	47	2	1	0	0
1	pt	48	6	1	0	0
1	pt	49	4	1	0	0
1	pt	50	4	1	0	0
1	pt	51	2	1	0	0
1	pt	52	2	1	0	0
1	pt	53	4	1	0	0
1	pt	54	3	1	0	0
1	pt	55	6	1	0	0
1	pt	56	6	1	0	0
1	pt	57	6	1	0	0
1	pt	58	6	0	0	0
1	pt	59	2	1	0	0
1	pt	60	4	1	0	0
1	pt	61	4	1	0	0
1	pt	62	7	1	0	0
1	pt	63	2	1	0	0
1	pt	64	2	1	0	0
1	pt	65	2	1	0	0
1	pt	66	1	1	0	0
1	pt	67	6	1	0	0
1	pt	68	5	1	0	0
1	pt	69	6	1	0	0
1	pt	70	2	1	0	0
1	pt	71	4	1	0	0
1	pt	72	2	1	0	0
1	pt	73	4	1	0	0
1	pt	74	7	1	0	0
1	pt	75	6	1	0	0
1	pt	76	3	1	0	0
1	pt	77	7	0	0	0
1	pt	78	2	1	0	0
1	pt	79	7	1	0	0
1	pt	80	6	1	0	0
1	pt	81	6	1	0	0
1	pt	82	4	1	0	0
1	pt	83	6	1	0	0
