subjID	group	trial	cue	choice	rt	outcome
0	hc	0	4	0	0	-1
0	hc	1	6	1	0	0
0	hc	2	7	1	0	0
0	hc	3	4	1	0	0
0	hc	4	6	1	0	0
0	hc	5	4	1	0	0
0	hc	6	4	1	0	0
0	hc	7	6	1	0	0
0	hc	8	2	1	0	0
0	hc	9	2	1	0	0
0	hc	10	1	1	0	0
0	hc	11	6	1	0	0
0	hc	12	6	1	0	0
0	hc	13	6	1	0	0
0	hc	14	7	0	0	0
0	hc	15	6	1	0	0
0	hc	16	4	1	0	0
0	hc	17	6	1	0	0
0	hc	18	2	1	0	0
0	hc	19	5	1	0	0
0	hc	20	2	1	0	0
0	hc	21	6	0	0	0
0	hc	22	4	1	0	0
0	hc	23	4	1	0	0
0	hc	24	2	1	0	0
0	hc	25	6	1	0	0
0	hc	26	4	1	0	0
0	hc	27	4	1	0	0
0	hc	28	1	1	0	0
0	hc	29	4	1	0	0
0	hc	30	4	1	0	0
0	hc	31	4	1	0	0
0	hc	32	6	1	0	0
0	hc	33	5	1	0	0
0	hc	34	3	1	0	0
0	hc	35	4	1	0	0
0	hc	36	6	1	0	0
0	hc	37	2	1	0	0
0	hc	38	5	1	0	0
0	hc	39	5	1	0	0
0	hc	40	2	1	0	0
0	hc	41	2	1	0	0
0	hc	42	2	1	0	0
0	hc	43	3	1	0	0
0	hc	44	4	1	0	0
0	hc	45	4	1	0	0
0	hc	46	7	1	0	0
0	hc	47	2	1	0	0
0	hc	48	2	0	0	-1
0	hc	49	2	1	0	0
0	hc	50	5	1	0	0
0	hc	51	2	1	0	0
0	hc	52	4	1	0	0
0	hc	53	2	1	0	0
0	hc	54	2	1	0	0
0	hc	55	2	1	0	0
0	hc	56	5	1	0	0
0	hc	57	2	1	0	0
0	hc	58	2	1	0	0
0	hc	59	4	1	0	0
0	hc	60	6	1	0	0
0	hc	61	2	1	0	0
0	hc	62	6	1	0	0
0	hc	63	2	1	0	0
0	hc	64	7	1	0	0
0	hc	65	4	1	0	0
0	hc	66	7	0	0	0
0	hc	67	4	1	0	0
0	hc	68	6	1	0	0
0	hc	69	1	1	0	0
0	hc	70	2	1	0	0
0	hc	71	2	1	0	0
0	hc	72	2	1	0	0
0	hc	73	2	1	0	0
0	hc	74	3	1	0	0
0	hc	75	4	1	0	0
0	hc	76	2	1	0	0
0	hc	77	6	1	0	0
0	hc	78	4	1	0	0
0	hc	79	2	1	0	0
0	hc	80	4	1	0	0
0	hc	81	2	1	0	0
0	hc	82	4	1	0	0
0	hc	83	6	0	0	0
0	hc	84	3	1	0	0
0	hc	85	5	1	0	0
0	hc	86	2	1	0	0
0	hc	87	6	1	0	0
0	hc	88	2	1	0	0
0	hc	89	2	1	0	0
0	hc	90	4	1	0	0
0	hc	91	1	1	0	0
0	hc	92	6	0	0	0
0	hc	93	1	1	0	0
0	hc	94	5	1	0	0
1	hc	0	2	0	0	-1
1	hc	1	2	1	0	0
1	hc	2	2	1	0	0
1	hc	3	4	1	0	0
1	hc	4	2	1	0	0
1	hc	5	6	1	0	0
1	hc	6	4	1	0	0
1	hc	7	2	1	0	0
1	hc	8	1	1	0	0
1	hc	9	2	1	0	0
1	hc	10	5	1	0	0
