subjID	group	trial	cue	choice	rt	outcome
0	hc	0	2	0	0	-1
0	hc	1	4	1	0	0
0	hc	2	2	1	0	0
0	hc	3	2	1	0	0
0	hc	4	4	1	0	0
0	hc	5	4	1	0	0
0	hc	6	2	0	0	-1
0	hc	7	4	1	0	0
0	hc	8	2	1	0	0
0	hc	9	6	1	0	0
0	hc	10	6	0	0	0
0	hc	11	4	1	0	0
0	hc	12	6	0	0	0
0	hc	13	2	1	0	0
0	hc	14	4	1	0	0
0	hc	15	2	1	0	0
0	hc	16	4	1	0	0
0	hc	17	2	1	0	0
0	hc	18	2	1	0	0
0	hc	19	4	1	0	0
0	hc	20	2	1	0	0
0	hc	21	2	1	0	0
0	hc	22	2	1	0	0
0	hc	23	3	1	0	0
0	hc	24	4	1	0	0
0	hc	25	2	1	0	0
0	hc	26	5	1	0	0
0	hc	27	4	1	0	0
0	hc	28	4	1	0	0
0	hc	29	4	1	0	0
0	hc	30	6	0	0	0
0	hc	31	4	1	0	0
0	hc	32	2	1	0	0
0	hc	33	6	0	0	0
0	hc	34	7	0	0	0
0	hc	35	4	1	0	0
0	hc	36	6	1	0	0
0	hc	37	3	1	0	0
0	hc	38	4	1	0	0
0	hc	39	4	1	0	0
0	hc	40	4	1	0	0
0	hc	41	6	0	0	0
0	hc	42	4	1	0	0
0	hc	43	7	0	0	0
0	hc	44	4	1	0	0
0	hc	45	2	1	0	0
0	hc	46	3	1	0	0
0	hc	47	6	0	0	0
0	hc	48	4	1	0	0
0	hc	49	1	1	0	0
0	hc	50	2	1	0	0
0	hc	51	2	1	0	0
0	hc	52	7	1	0	0
0	hc	53	7	1	0	0
0	hc	54	6	0	0	0
0	hc	55	4	1	0	0
0	hc	56	6	0	0	0
0	hc	57	2	1	0	0
0	hc	58	2	1	0	0
0	hc	59	4	1	0	0
0	hc	60	3	1	0	0
0	hc	61	1	1	0	0
0	hc	62	7	1	0	0
0	hc	63	4	1	0	0
0	hc	64	4	1	0	0
0	hc	65	3	1	0	0
0	hc	66	2	1	0	0
0	hc	67	4	1	0	0
0	hc	68	6	1	0	0
0	hc	69	6	1	0	0
0	hc	70	4	1	0	0
0	hc	71	1	1	0	0
0	hc	72	6	1	0	0
0	hc	73	2	1	0	0
0	hc	74	4	1	0	0
0	hc	75	1	1	0	0
0	hc	76	5	1	0	0
0	hc	77	4	1	0	0
0	hc	78	4	1	0	0
0	hc	79	4	1	0	0
0	hc	80	3	1	0	0
0	hc	81	4	1	0	0
0	hc	82	7	1	0	0
0	hc	83	2	1	0	0
0	hc	84	2	1	0	0
0	hc	85	1	1	0	0
0	hc	86	6	1	0	0
0	hc	87	5	1	0	0
0	hc	88	2	1	0	0
0	hc	89	4	1	0	0
0	hc	90	5	1	0	0
0	hc	91	5	1	0	0
0	hc	92	2	1	0	0
0	hc	93	6	1	0	0
0	hc	94	6	1	0	0
1	hc	0	6	0	0	0
1	hc	1	4	0	0	-1
1	hc	2	6	0	0	0
1	hc	3	6	0	0	0
1	hc	4	4	1	0	0
1	hc	5	4	1	0	0
1	hc	6	2	1	0	0
1	hc	7	1	1	0	0
1	hc	8	4	1	0	0
1	hc	9	4	1	0	0
1	hc	10	6	0	0	0
1	hc	11	5	1	0	0
1	hc	12	6	0	0	0
1	hc	13	6	1	0	0
1	hc	14	6	0	0	0
1	hc	15	6	0	0	0
1	hc	16	2	1	0	0
1	hc	17	3	1	0	0
1	hc	18	2	1	0	0
1	hc	19	6	0	0	0
1	hc	20	6	0	0	0
1	hc	21	3	0	0	0
1	hc	22	4	1	0	0
1	hc	23	6	0	0	0
1	hc	24	6	0	0	0
1	hc	25	2	1	0	0
1	hc	26	6	1	0	0
1	hc	27	6	0	0	0
1	hc	28	1	1	0	0
1	hc	29	2	1	0	0
1	hc	30	4	1	0	0
1	hc	31	2	0	0	-1
1	hc	32	6	0	0	0
1	hc	33	6	0	0	0
1	hc	34	6	1	0	0
1	hc	35	6	1	0	0
1	hc	36	3	0	0	0
1	hc	37	2	1	0	0
1	hc	38	4	1	0	0
1	hc	39	4	1	0	0
1	hc	40	6	1	0	0
1	hc	41	5	0	0	0
1	hc	42	4	1	0	0
1	hc	43	6	1	0	0
1	hc	44	4	1	0	0
1	hc	45	2	1	0	0
1	hc	46	6	1	0	0
1	hc	47	4	1	0	0
1	hc	48	2	1	0	0
1	hc	49	6	1	0	0
1	hc	50	7	0	0	0
1	hc	51	2	1	0	0
1	hc	52	6	1	0	0
1	hc	53	6	1	0	0
1	hc	54	2	1	0	0
1	hc	55	6	1	0	0
1	hc	56	4	1	0	0
1	hc	57	2	1	0	0
1	hc	58	4	1	0	0
1	hc	59	2	1	0	0
1	hc	60	2	1	0	0
1	hc	61	2	1	0	0
1	hc	62	2	1	0	0
1	hc	63	4	1	0	0
1	hc	64	5	0	0	0
1	hc	65	2	1	0	0
1	hc	66	6	1	0	0
1	hc	67	2	1	0	0
1	hc	68	2	1	0	0
1	hc	69	6	1	0	0
1	hc	70	6	1	0	0
1	hc	71	7	0	0	0
1	hc	72	5	1	0	0
1	hc	73	4	1	0	0
1	hc	74	2	1	0	0
1	hc	75	4	1	0	0
1	hc	76	2	1	0	0
1	hc	77	4	1	0	0
1	hc	78	4	1	0	0
1	hc	79	6	1	0	0
1	hc	80	3	1	0	0
1	hc	81	7	1	0	0
1	hc	82	7	1	0	0
1	hc	83	6	1	0	0
1	hc	84	6	1	0	0
1	hc	85	6	1	0	0
1	hc	86	6	1	0	0
1	hc	87	7	1	0	0
1	hc	88	6	1	0	0
1	hc	89	5	1	0	0
1	hc	90	2	1	0	0
1	hc	91	4	1	0	0
1	hc	92	3	1	0	0
1	hc	93	2	1	0	0
1	hc	94	6	1	0	0
2	hc	0	6	0	0	0
2	hc	1	2	0	0	-1
2	hc	2	2	1	0	0
2	hc	3	6	1	0	0
2	hc	4	2	1	0	0
2	hc	5	4	1	0	0
2	hc	6	4	1	0	0
2	hc	7	2	1	0	0
2	hc	8	2	1	0	0
2	hc	9	2	1	0	0
2	hc	10	6	0	0	0
2	hc	11	1	0	0	0
2	hc	12	2	1	0	0
2	hc	13	3	1	0	0
2	hc	14	2	1	0	0
2	hc	15	4	1	0	0
2	hc	16	4	1	0	0
2	hc	17	4	1	0	0
2	hc	18	2	1	0	0
2	hc	19	4	1	0	0
2	hc	20	6	0	0	0
2	hc	21	6	0	0	0
2	hc	22	4	1	0	0
2	hc	23	6	0	0	0
2	hc	24	1	1	0	0
2	hc	25	2	1	0	0
2	hc	26	6	0	0	0
2	hc	27	4	1	0	0
2	hc	28	3	1	0	0
2	hc	29	4	1	0	0
2	hc	30	4	1	0	0
2	hc	31	6	0	0	0
2	hc	32	4	1	0	0
2	hc	33	6	0	0	0
2	hc	34	4	1	0	0
2	hc	35	6	0	0	0
2	hc	36	4	1	0	0
2	hc	37	7	0	0	0
2	hc	38	4	1	0	0
2	hc	39	1	0	0	0
2	hc	40	6	0	0	0
2	hc	41	6	0	0	0
