mu_sigma_a,mu_sigma_n,mu_eta,mu_kappa,mu_beta,mu_bias
0.6528792404659581,0.042718572061882565,0.35978037877434144,0.9826524944288684,8.429108990443227,0.010800285636316792
0.8761949229644936,0.13595039872591883,0.3640299525317626,0.9684549680456112,8.203467973675666,0.007694366636991603
0.6297931559893779,0.04579175163671197,0.3589861116372754,0.9778032297351706,8.720860931783069,0.01287821070231273
0.8923162865735397,0.11012597226608643,0.2656550310599869,0.9771912235901782,9.154709759855798,0.09353293576206072
0.8806943845037208,0.04807893368747935,0.421975569910712,0.9189155746091491,9.630847816735317,0.026729800604293575
0.8169360270153625,0.12161889958087038,0.27500810780729157,0.9728745534213487,9.216450214965633,0.07868582604182604
0.9833405389678692,0.18949270340395638,0.24569664421230503,0.8336185528413115,9.05009353986093,0.012009516194441058
0.8631719665482078,0.12252009828721576,0.3253143089783798,0.9337383278703154,9.371037473311306,0.07586110865735454
0.788332924611847,0.16486058482082308,0.4128857998279566,0.9302602153616838,9.68607694418589,0.005302633397711739
0.9476020943596846,0.047766794505631587,0.40698543665641224,0.93863862489995,9.305142102599454,0.012648771800139796
0.8813979246160467,0.14825556080420746,0.3654769585254262,0.937125801588218,9.80370491562194,0.007960045787575191
0.9551801223730861,0.05289328478741839,0.39823749189520985,0.9429510561556481,9.328718903036709,0.015425081030848968
0.8332962621056199,0.11623589721217796,0.3712863599945155,0.9460660792942689,9.98080184106075,0.08252085184678956
0.9665081396853501,0.061147725856750317,0.40400282324790304,0.911060617950575,9.523706948947753,0.022917385708850713
0.8017568788049095,0.08497158301778675,0.3981754409911485,0.9199753177160638,9.959234158936399,0.033183617394138124
0.9104011013644617,0.2013188660259841,0.3316924447277081,0.9645059162899068,8.437111442631153,0.08702943814813259
0.905246727879979,0.0846450134288472,0.3373503004157358,0.9375833807132009,8.29385075754139,0.036783037602999044
0.6985781059240137,0.12449461568783945,0.3855007064224551,0.9070009661581863,9.628780831837078,0.004199718907285576
0.86443804654174,0.08076894980601057,0.38552898562034316,0.9774028021341996,9.252970073407493,0.01360876395226841
0.9077029687065616,0.1544776241156341,0.2595507492533041,0.9397799597199485,9.249412262648033,0.10797851913712687
0.9622126567980215,0.0975609117133445,0.32708265955720295,0.9648030643882001,7.52675405443596,0.017710692971748532
0.9334516744798479,0.38106834179291704,0.3036067914381351,0.9949767373292868,8.08783412520367,0.029290998286378263
0.8233835497109335,0.13661514247576118,0.2542204946929333,0.933969854044857,9.949549607151514,0.07938419395802745
0.798128874074173,0.09024254604718332,0.3493522994289497,0.9201706489438334,9.236463931123806,0.061719471839672274
0.7088790193122727,0.1757989622203198,0.25808589849373237,0.8066504498014778,9.848360093688285,0.04524493115814994
0.804808895654407,0.07499787697769236,0.32410718538280436,0.9630089655318016,9.399532008359731,0.03189343910986024
0.999188433867268,0.08099646034219025,0.4095054240483775,0.986108308147583,8.247196033732306,0.017058316950841892
0.8154938134625713,0.07799698332734674,0.3396543259815409,0.9541003898049265,9.422442263411067,0.0480774937939494
0.7837132447383959,0.13441380872525271,0.3055902633469284,0.9098724327345973,9.483482163923263,0.013251561798832903
0.8353848566610075,0.08756376890441173,0.32234841840290773,0.9611742524382693,9.48847698455881,0.0531893744305155
0.9880652192158249,0.218800968668403,0.28321168787235584,0.9812540092233282,9.58349954361017,0.06121925004340673
0.7553520630614317,0.0652855125117079,0.34802435598920217,0.9772394851474656,8.628136592540104,0.03268660309985735
0.9959087677109584,0.2099904887146375,0.18544266879111984,0.9385460761266128,9.68385065927938,0.07534072035512555
0.8150476007659395,0.07185754168525577,0.33861886738904856,0.9939859383338228,8.92746343036005,0.0969667075109634
0.9911132650995325,0.17649631600416088,0.27657384041435035,0.9720623127436562,9.68210117226542,0.10547015844153997
0.9587170204826863,0.11597931060032854,0.3541489978533087,0.8721964286442143,9.131197299234687,0.024620379598422247
0.9346864274032942,0.19882288727456238,0.25558082463435094,0.9080387170684892,8.400017387145049,0.02018293700146624
0.8740052918369456,0.19395943617512065,0.3231572149302261,0.9035153087082373,9.10236081183667,0.010601100318783356
0.9544454094997059,0.12078490934644658,0.3391767977121137,0.9199323958314974,7.882166901781233,0.027507341012461127
0.6966247913371415,0.08355649425615581,0.2723138178253274,0.9226346934751128,8.687786144702264,0.004032441947950451
